Marine Recreational Information Program Query Results

Your Query Parameters:

·Query: MRIP CATCH TIME SERIES

·Year: 1981 - 2018

·Wave: BY WAVE

·Geographic Area: NORTH ATLANTIC BY STATE

·Species: SUMMER FLOUNDER                                                                                                                                                                                         

·Fishing Mode: ALL MODES BY MODE

·Fishing Area: ALL AREAS BY AREA

·Type of Catch: TOTAL CATCH (TYPE A + B1 + B2)

Information:

·NUMBERS OF FISH

PSE (proportional standard error) is automatically included in all outputs. It expresses the standard error of an estimate as a percentage of the estimate and is a

measure of precision.

The following cases have been excluded from results below due to insufficient sample sizes:

CT-2013-CHARTER                           ,RI-2013-CHARTER                           ,CT-2014-CHARTER                           ,CT-2015-CHARTER                           ,

Estimates replaced by a * indicates all estimates excluded.

Estimates including these cases are available by running this query at the annual level.

"Estimate Status","Year","Wave","State","Common Name","Fishing Mode","Fishing Area","Total Catch (A+B1+B2)","PSE"
"FINAL",1981,"MAY/JUNE","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",66907,115.3
"FINAL",1981,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",46085,64.8
"FINAL",1981,"MAY/JUNE","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",67937,9.8
"FINAL",1981,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",15683,83.9
"FINAL",1981,"JULY/AUGUST","CONNECTICUT","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",51625,83.3
"FINAL",1981,"JULY/AUGUST","MAINE","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",1067,101.4
"FINAL",1981,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",14026,92.1
"FINAL",1981,"JULY/AUGUST","MASSACHUSETTS","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","INLAND",31154,87.6
"FINAL",1981,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","OCEAN (<= 3 MI)",3113,102.3
"FINAL",1981,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","SHORE","INLAND",1807,101.7
"FINAL",1981,"JULY/AUGUST","RHODE ISLAND","SUMMER FLOUNDER","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)",75179,64.8
